openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
182,oob,0.001,100,100,100000,0,4.0,3592.285714285714,2.0,0.1379999999999999,0.1360142857142857,0.0019428571428571,2.285714285714285e-05,31209346.92857143,2419189.457142857,524551.5
182,oob,0.01,100,100,100,0,4.0,244.28571428571428,4.0,0.1578714285714285,0.1375285714285714,0.0218142857142857,0.0015371428571428,2122200.0,164521.7142857143,35667.28571428572
182,oob,0.1,3,3,10,0,4.0,14.0,56.285714285714285,0.2886285714285714,0.1574714285714285,0.1525714285714285,0.02148,121618.19999999998,9428.4,2044.2
183,oob,0.001,100,100,100000,0,4.5,2653.2,2.0,0.84271,0.84666,0.00138,-8.4e-05,16272407.25,1683245.52,502190.37
183,oob,0.01,100,100,100,0,4.5,238.0,4.3,0.85877,0.8493,0.01744,0.002556,1459299.8,150955.9,44888.5
183,oob,0.1,3,3,10,0,4.5,12.0,63.8,0.99009,0.89747,0.14876,0.050726,73579.92,7611.719999999999,2264.04
184,oob,0.001,100,100,100000,0,4.5,4039.2,2.0,0.5707500000000001,0.56556,0.00231,2.4999999999999994e-05,67678531.47,12652069.32,4245002.19
184,oob,0.01,100,100,100,0,4.5,272.0,4.4,0.5938100000000001,0.56737,0.0253699999999999,0.0018349999999999,4557435.3,852262.8,285399.1
184,oob,0.1,3,3,10,0,4.5,13.6,58.6,0.7439,0.61143,0.17546,0.045895,227879.18,42619.72,14253.24
185,oob,0.001,100,100,100000,0,4.333333333333333,2893.0,2.0,0.0989888888888888,0.0916555555555555,0.0015,0.0001077777777777,5681052.300000001,913862.4,128993.7
185,oob,0.01,100,100,100,0,4.333333333333333,230.0,4.888888888888889,0.1148888888888888,0.0916888888888888,0.0174,0.0001411111111111,451484.0,72670.33333333333,10255.444444444443
185,oob,0.1,3,3,10,0,4.333333333333333,13.333333333333334,59.888888888888886,0.2416333333333333,0.1018555555555555,0.1441444444444444,0.0103077777777777,26163.244444444445,4212.955555555555,594.6222222222223
188,oob,0.001,100,100,100000,0,4.666666666666667,3234.0,2.0,0.4554555555555555,0.4549444444444444,0.0029888888888888,0.00065,5015272.9,1056445.5,123326.5
188,oob,0.01,100,100,100,0,4.666666666666667,252.22222222222223,4.555555555555555,0.4751666666666667,0.4558777777777777,0.0227,0.0015833333333333,391326.4444444445,82353.44444444444,9565.666666666666
188,oob,0.1,3,3,10,0,4.666666666666667,14.0,57.22222222222222,0.6152333333333333,0.4811333333333333,0.1627666666666666,0.0268388888888888,21718.64444444444,4571.288888888888,531.5555555555555
204,oob,0.001,100,100,100000,0,4.5,2930.4,2.0,1.04712,1.04734,0.00124,0.000146,4368816.54,911294.01,224820.09
204,oob,0.01,100,100,100,0,4.5,246.0,4.8,1.0643699999999998,1.05115,0.01849,0.0039559999999999,366680.6,76491.3,18815.2
204,oob,0.1,3,3,10,0,4.5,11.4,66.3,1.19657,1.11041,0.15069,0.063216,16991.32,3545.12,867.72
273,oob,0.001,100,100,100000,0,4.888888888888889,2992.0,2.0,0.4636555555555556,0.4608444444444444,0.0016888888888888,3.6666666666666666e-05,2475198969.1000004,185561756.6,5759708.9
273,oob,0.01,100,100,100,0,4.888888888888889,240.0,4.333333333333333,0.4812888888888889,0.4623444444444444,0.0193222222222222,0.0015366666666666,198562394.66666663,14864189.333333334,461528.0
273,oob,0.1,3,3,10,0,4.888888888888889,12.0,57.55555555555556,0.6192777777777778,0.4951666666666667,0.1573111111111111,0.0343588888888888,9928119.733333332,743209.4666666666,23076.4
293,oob,0.001,100,100,100000,0,4.5,3554.1,2.0,0.07681,0.07109,0.00226,5.1000000000000006e-05,2564594517.87,221063668.65,30676072.68
293,oob,0.01,100,100,100,0,4.5,250.0,4.4,0.09696,0.07196,0.02241,0.0009209999999999,180398530.0,15543550.0,2157862.5
293,oob,0.1,3,3,10,0,4.5,14.0,57.5,0.23064,0.09019,0.15609,0.019151,10102317.68,870438.8,120840.3
300,oob,0.001,100,100,100000,0,4.5,5425.2,2.5,0.18667,0.1764,0.00389,3e-05,491939546.67,15193144.89,1681187.31
300,oob,0.01,100,100,100,0,4.5,302.0,4.7,0.21844,0.17919,0.03566,0.00282,27384909.3,845740.2,93603.3
300,oob,0.1,3,3,10,0,4.5,14.2,59.5,0.39381,0.22547,0.21103,0.0491,1287665.34,39764.740000000005,4400.4800000000005
351,oob,0.001,100,100,100000,0,4.5,2979.9,2.0,0.0359199999999999,0.03234,0.00165,-8.000000000000001e-06,1029626810.19,89302161.96000001,20696610.33
351,oob,0.01,100,100,100,0,4.5,230.0,4.5,0.05259,0.03267,0.01832,0.0003219999999999,79477173.9,6894158.0,1597511.0
