openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
560,oob,0.1,2,2,10,0,4.5,6.3,126.0,0.0893532,0.0076464999999999,0.0874149999999999,0.006517,8949.320000000002,1586.74,387.87
564,oob,0.001,100,100,1000,0,4.5,1293.0,11.9,0.0057027,0.0039872,0.001429,9e-06,236763625.2,3740416.9,441624.8
564,oob,0.01,10,10,100,0,4.5,90.0,14.6,0.015339,0.004131,0.011065,0.000152,16480225.8,260347.5,30743.1
564,oob,0.1,2,2,10,0,4.5,6.0,126.7,0.0786153,0.0116034,0.074341,0.007625,1098681.72,17356.5,2049.54
574,oob,0.001,100,100,1000,0,4.5,617.0,11.5,0.0121417,0.0113002,0.000637,2.9e-05,105151778.7,1142378.0,137545.8
574,oob,0.01,10,10,100,0,4.5,45.0,17.0,0.0158869,0.0116646,0.004382,0.000392,7669256.85,83306.25,10039.05
574,oob,0.1,2,2,10,0,4.5,2.0,157.8,0.041204,0.0207513,0.0297009999999999,0.009478,340855.86,3702.5,446.18
673,oob,0.001,100,100,1000,0,4.5,1004.0,10.7,0.0906927,0.0874373,0.001344,0.000327,1632306.3,262317.5,64133.3
673,oob,0.01,10,10,100,0,4.5,88.2,14.5,0.1002772999999999,0.0879554999999999,0.010926,0.0008439999999999,143414.37,23051.25,5634.18
673,oob,0.1,2,2,10,0,4.5,6.2,124.0,0.1590228,0.0970194,0.069673,0.009909,10079.3,1620.2800000000002,396.24
3050,oob,0.001,100,100,1000,0,4.5,1234.0,12.0,0.0248031,0.0224698,0.001313,-8e-06,413766045.3,2153180.2,150166.4
3050,oob,0.01,10,10,100,0,4.5,90.0,14.6,0.033971,0.0228331,0.0104789999999999,0.000355,30176814.6,157131.9,10960.2
3050,oob,0.1,2,2,10,0,4.5,6.0,125.9,0.0940245,0.0315743,0.070533,0.009097,2011787.64,10475.46,730.68
3277,oob,0.001,100,100,1000,0,4.5,1292.0,12.0,0.035316,0.0342333,0.001371,6.3e-05,453042295.2,2238947.2,149112.4
3277,oob,0.01,10,10,100,0,4.5,97.2,14.6,0.0447545,0.0347025,0.010809,0.000531,34089436.44,168418.62,11210.76
3277,oob,0.1,2,2,10,0,4.5,6.2,126.6,0.1095372999999999,0.0446095,0.07559,0.010438,2174579.52,10733.58,716.78
4549,oob,0.001,100,100,1000,0,4.5,241.0,10.0,0.0007417,0.0005361999999999,0.000176,0.0,4232794309.8,28473521.2,990415.0
4549,oob,0.01,10,10,100,0,4.5,18.0,19.3,0.001895,0.0005947,0.001328,6.1e-05,316147011.12,2126769.48,74043.36
4549,oob,0.1,2,2,10,0,4.5,2.0,161.2,0.0060332,0.0019486,0.005467,0.001414,35127445.68,236307.72000000003,8227.039999999999
41021,oob,0.001,100,100,1000,0,4.5,3314.0,13.9,0.0064941,0.0020486,0.003756,1.0000000000000002e-06,14964458.9,1075746.7,238701.0
41021,oob,0.01,10,10,100,0,4.5,235.8,12.7,0.0327326,0.0020937,0.029994,4.7e-05,1064762.64,76542.66,16982.82
41021,oob,0.1,2,2,10,0,4.5,17.2,100.8,0.2102704999999999,0.0077069,0.207534,0.0056619999999999,77666.48000000001,5582.469999999999,1238.65
41540,oob,0.001,100,100,1000,0,4.5,1271.0,12.0,0.0327776,0.031458,0.001271,5e-06,271117208.3,17306655.4,1642431.0
41540,oob,0.01,10,10,100,0,4.5,99.0,14.5,0.0419968,0.0315251999999999,0.01049,7.1e-05,21117892.95,1348097.85,127948.59
41540,oob,0.1,2,2,10,0,4.5,7.0,125.3,0.1044114999999999,0.0371387,0.072905,0.005686,1493184.35,95320.05,9046.87
41928,oob,0.001,100,100,1000,0,4.5,1491.0,12.1,0.0762028999999999,0.0756561,0.001656,2.1e-05,10467750.3,547012.0,118200.9
41928,oob,0.01,10,10,100,0,4.5,109.8,13.9,0.088337,0.0764487,0.013789,0.0008139999999999,770935.5900000001,40262.58,8705.07
41928,oob,0.1,2,2,10,0,4.5,7.3,122.8,0.1700617,0.0881766,0.095516,0.012544,51225.9,2676.9,578.0600000000001
41980,oob,0.001,100,100,1000,0,4.5,1865.0,13.0,0.0201079,0.0178454,0.002022,1.2e-05,110069841.0,1117044.3,188631.3
41980,oob,0.01,10,10,100,0,4.5,136.8,13.8,0.0342688,0.0180129,0.016183,0.000177,8072552.88,81924.75,13831.920000000002
41980,oob,0.1,2,2,10,0,4.5,9.0,113.5,0.1331597,0.0254841,0.115076,0.007649,531063.27,5390.46,910.17
42225,oob,0.001,100,100,1000,0,4.5,648.0,11.2,0.0019050999999999,0.0011652,0.000637,2.0000000000000003e-06,92943489.4,2899157.8,309213.4
42225,oob,0.01,10,10,100,0,4.5,54.0,16.2,0.0057991,0.0012258999999999,0.004533,6.2e-05,7745336.639999999,241593.3,25765.02
42225,oob,0.1,2,2,10,0,4.5,3.0,143.3,0.0346558,0.0071256,0.033389,0.0059609999999999,430296.48,13421.85,1431.39
42563,oob,0.001,100,100,1000,0,4.5,594.0,11.1,0.0025534,0.0017922,0.000594,5.000000000000001e-06,9032663.5,254426.8,44019.6
42563,oob,0.01,10,10,100,0,4.5,45.0,17.0,0.0063004,0.0018832,0.0043409999999999,9.7e-05,684403.65,19275.75,3335.85
42563,oob,0.1,2,2,10,0,4.5,3.0,143.3,0.0293986,0.0067817,0.027438,0.004995,45626.91,1285.05,222.39
42570,oob,0.001,100,100,1000,0,4.5,1177.0,12.0,0.0292470999999999,0.028253,0.001154,-2.1e-05,80457990.2,1328428.2,112975.2
42570,oob,0.01,10,10,100,0,4.5,90.0,14.9,0.0379411999999999,0.0283565,0.009851,8.099999999999999e-05,6151027.5,101574.0,8632.8
42570,oob,0.1,2,2,10,0,4.5,6.0,128.4,0.0968614,0.0350590999999999,0.06877,0.006785,410068.5,6771.6,575.52
42571,oob,0.001,100,100,1000,0,4.5,1301.0,12.0,0.0410003,0.0392206,0.001442,2.8000000000000003e-05,13992389797.3,395319593.3,2216398.7
42571,oob,0.01,10,10,100,0,4.5,90.9,15.0,0.0506733,0.0396753,0.011115,0.000483,977703705.18,27624185.910000004,154931.4
42571,oob,0.1,2,2,10,0,4.5,6.0,126.7,0.1121544,0.0497951,0.0725949999999999,0.010602,64531608.3,1823189.76,10218.18
